satellite,satellite_name,staleness_h,threshold_hz,is_preregistered_threshold,status,candidate_pairs,accepted_pairs,rejected_pairs,reject_rate_pct,n_train_pairs,n_validation_pairs,n_test_pairs,selected_model,val_sgp4_mae_hz,val_learned_mae_hz,val_improvement_pct,gate_decision,gate_mae,gate_p95,gate_p99,gate_outage,gate_guard_cost,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,test_improvement_pct,learned_wins,sgp4_wins,ties,pair_win_rate,mean_pair_delta_mae_hz,median_pair_delta_mae_hz,pair_ci_low_hz,pair_ci_high_hz,sign_test_p,holm_p,bh_q,block_bootstrap_days,block_ci_low_hz,block_ci_high_hz,block_ci_excludes_zero,test_sgp4_p95_hz,test_learned_p95_hz,test_sgp4_p99_hz,test_learned_p99_hz,test_sgp4_outage_proxy,test_learned_outage_proxy
NORAD61594,ONEWEB-0015,24,1500,True,evaluated,1651,1604,47,2.8468,791,416,397,linear_bias_rate,1.085374,2.411641,-122.1945,closed,closed,closed,closed,closed,closed,1.052899,2.340346,1.287447,122.2765,-122.2765,17,380,0,0.042821,1.287447,1.365075,1.235136,1.337761,0.0,0.0,0.0,123,1.215148,1.358816,True,2.830601,4.171194,3.722226,4.944055,0.0,0.0
NORAD61594,ONEWEB-0015,24,3000,False,evaluated,1651,1622,29,1.7565,809,416,397,linear_bias_rate,1.085374,3.077757,-183.5665,closed,closed,closed,closed,closed,closed,1.052899,2.995683,1.942784,184.5176,-184.5176,9,388,0,0.02267,1.942784,2.049733,1.879471,2.003361,0.0,0.0,0.0,123,1.857401,2.026047,True,2.830601,4.858204,3.722226,5.589914,0.0,0.0
NORAD61594,ONEWEB-0015,48,none,False,evaluated,1664,1664,0,0.0,843,421,400,linear_bias_rate,2.001634,6.520533,-225.7605,closed,closed,closed,closed,closed,closed,1.954724,6.297169,4.342445,222.1514,-222.1514,9,391,0,0.0225,4.342445,4.60361,4.188758,4.500039,0.0,0.0,0.0,126,4.101029,4.565976,True,5.199854,9.732589,6.733572,10.991486,0.0,0.0
NORAD61594,ONEWEB-0015,48,150,False,evaluated,1664,1438,226,13.5817,620,419,399,stale_age_ridge,1.761558,1.749694,0.6735,closed,closed,closed,closed,closed,closed,1.890534,1.878479,-0.012055,-0.6377,0.6377,223,176,0,0.558897,-0.012055,-0.01094,-0.025192,0.001192,0.021169,1.0,0.03785185,126,-0.030368,0.006356,False,4.99969,4.996493,6.388532,6.382476,0.0,0.0
NORAD61594,ONEWEB-0015,48,500,False,evaluated,1664,1513,151,9.0745,692,421,400,stale_age_ridge,2.001634,1.995645,0.2992,closed,closed,closed,closed,closed,closed,1.954724,1.951619,-0.003104,-0.1588,0.1588,206,194,0,0.515,-0.003104,-0.007377,-0.010455,0.004135,0.582374,1.0,0.66841932,126,-0.013165,0.006829,False,5.199854,5.197831,6.733572,6.729881,0.0,0.0
NORAD61594,ONEWEB-0015,48,1500,True,evaluated,1664,1557,107,6.4303,736,421,400,stale_age_ridge,2.001634,2.278222,-13.8181,closed,closed,closed,closed,closed,closed,1.954724,2.276525,0.321801,16.4628,-16.4628,107,293,0,0.2675,0.321801,0.139413,0.262067,0.38225,0.0,0.0,0.0,126,0.249684,0.399727,True,5.199854,5.594495,6.733572,7.115334,0.0,0.0
NORAD61594,ONEWEB-0015,48,3000,False,evaluated,1664,1582,82,4.9279,761,421,400,linear_bias_rate,2.001634,3.826251,-91.1564,closed,closed,closed,closed,closed,closed,1.954724,3.694936,1.740212,89.026,-89.026,23,377,0,0.0575,1.740212,1.872026,1.650503,1.837715,0.0,0.0,0.0,126,1.598599,1.878771,True,5.199854,7.092935,6.733572,8.487882,0.0,0.0
NORAD61594,ONEWEB-0015,72,none,False,evaluated,1656,1656,0,0.0,840,418,398,linear_bias_rate,2.390593,8.349638,-249.2706,closed,closed,closed,closed,closed,closed,2.428928,8.755467,6.326539,260.4663,-260.4663,22,376,0,0.055276,6.326539,4.845473,5.831626,6.814506,0.0,0.0,0.0,125,5.80866,6.869067,True,6.419694,13.237844,8.210994,14.784353,0.0,0.0
NORAD61594,ONEWEB-0015,72,150,False,evaluated,1656,1373,283,17.0894,559,416,398,linear_bias_rate,2.091714,2.093497,-0.0852,closed,closed,closed,closed,closed,closed,2.428928,2.429453,0.000525,0.0216,-0.0216,186,212,0,0.467337,0.000525,0.004369,-0.001407,0.002525,0.210102,1.0,0.2936932,125,-0.002365,0.00343,False,6.419694,6.417114,8.210994,8.208751,0.0,0.0
NORAD61594,ONEWEB-0015,72,500,False,evaluated,1656,1453,203,12.2585,638,417,398,stale_age_ridge,2.163416,2.194488,-1.4363,closed,closed,closed,closed,closed,closed,2.428928,2.464855,0.035927,1.4791,-1.4791,178,220,0,0.447236,0.035927,0.067798,0.017573,0.053929,0.039731,1.0,0.06694658,125,0.009069,0.062322,True,6.419694,6.486586,8.210994,8.27138,0.0,0.0
