target_satellite,target_name,staleness_h,status,canonical_records,median_gap_h,epoch_start,epoch_end,reject_hz,gamma,f_tol_hz,n_train_pairs,n_validation_pairs,n_test_pairs,rejected_train_pairs,rejected_validation_pairs,rejected_test_pairs,reject_rate_target_pct,selected_model,ridge_alpha,val_sgp4_mae_hz,val_learned_mae_hz,val_degradation_pct,gate_decision,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,deployed_test_mae_hz
NORAD61594,ONEWEB-0015,8,evaluated,1695,8.0,2024-10-24T16:00:01.999584+00:00,2026-07-26T10:47:35.065824+00:00,1500.0,0.95,500.0,627,373,331,3,0,0,0.225,stale_age_ridge,1000.0,0.56699,0.899166,58.5858,closed,0.488377,0.884867,0.39649,81.1851,0.488377
NORAD61594,ONEWEB-0015,24,evaluated,1695,8.0,2024-10-24T16:00:01.999584+00:00,2026-07-26T10:47:35.065824+00:00,1500.0,0.95,500.0,791,416,397,47,0,0,2.847,linear_bias_rate,,1.085374,2.411641,122.1945,closed,1.052899,2.340346,1.287447,122.2765,1.052899
NORAD61594,ONEWEB-0015,48,evaluated,1695,8.0,2024-10-24T16:00:01.999584+00:00,2026-07-26T10:47:35.065824+00:00,1500.0,0.95,500.0,736,421,400,107,0,0,6.43,stale_age_ridge,1000.0,2.001634,2.278222,13.8181,closed,1.954724,2.276525,0.321801,16.4628,1.954724
NORAD61594,ONEWEB-0015,72,evaluated,1695,8.0,2024-10-24T16:00:01.999584+00:00,2026-07-26T10:47:35.065824+00:00,1500.0,0.95,500.0,686,418,398,154,0,0,9.3,linear_bias_rate,,2.390593,2.414566,1.0028,closed,2.428928,2.455486,0.026558,1.0934,2.428928
NORAD61594,ONEWEB-0015,96,evaluated,1695,8.0,2024-10-24T16:00:01.999584+00:00,2026-07-26T10:47:35.065824+00:00,1500.0,0.95,500.0,668,420,404,188,0,0,11.19,stale_age_ridge,1000.0,2.667518,2.660379,-0.2676,closed,3.27862,3.265702,-0.012918,-0.394,3.27862
NORAD61594,ONEWEB-0015,168,evaluated,1695,8.0,2024-10-24T16:00:01.999584+00:00,2026-07-26T10:47:35.065824+00:00,1500.0,0.95,500.0,568,421,404,284,0,0,16.935,linear_bias_rate,,5.056065,5.074444,0.3635,closed,8.84915,8.860425,0.011276,0.1274,8.84915
NORAD66514,SENTINEL-6B,8,evaluated,727,5.621,2025-11-17T08:20:13.250976+00:00,2026-07-26T14:12:50.533056+00:00,1500.0,0.95,500.0,290,119,78,0,0,0,0.0,linear_bias_rate,,0.045403,0.050174,10.5081,closed,0.041419,0.046695,0.005276,12.7371,0.041419
NORAD66514,SENTINEL-6B,24,evaluated,727,5.621,2025-11-17T08:20:13.250976+00:00,2026-07-26T14:12:50.533056+00:00,1500.0,0.95,500.0,402,161,126,0,0,0,0.0,linear_bias_rate,,0.143756,0.152887,6.3516,closed,0.115621,0.125032,0.009411,8.14,0.115621
NORAD66514,SENTINEL-6B,48,evaluated,727,5.621,2025-11-17T08:20:13.250976+00:00,2026-07-26T14:12:50.533056+00:00,1500.0,0.95,500.0,395,163,129,0,0,0,0.0,linear_bias_rate,,0.292191,0.313504,7.2941,closed,0.22246,0.248562,0.026102,11.7336,0.22246
NORAD66514,SENTINEL-6B,72,evaluated,727,5.621,2025-11-17T08:20:13.250976+00:00,2026-07-26T14:12:50.533056+00:00,1500.0,0.95,500.0,390,163,127,8,0,0,1.163,linear_bias_rate,,0.451209,0.482681,6.9751,closed,0.325852,0.373073,0.047221,14.4916,0.325852
NORAD66514,SENTINEL-6B,96,evaluated,727,5.621,2025-11-17T08:20:13.250976+00:00,2026-07-26T14:12:50.533056+00:00,1500.0,0.95,500.0,390,163,131,14,0,0,2.006,linear_bias_rate,,0.612175,0.683088,11.5839,closed,0.437529,0.571663,0.134134,30.6571,0.437529
