satellite,satellite_name,staleness_h,threshold_hz,is_preregistered_threshold,status,candidate_pairs,accepted_pairs,rejected_pairs,reject_rate_pct,n_train_pairs,n_validation_pairs,n_test_pairs,selected_model,val_sgp4_mae_hz,val_learned_mae_hz,val_improvement_pct,gate_decision,gate_mae,gate_p95,gate_p99,gate_outage,gate_guard_cost,test_sgp4_mae_hz,test_learned_mae_hz,test_delta_mae_hz,test_degradation_pct,test_improvement_pct,learned_wins,sgp4_wins,ties,pair_win_rate,mean_pair_delta_mae_hz,median_pair_delta_mae_hz,pair_ci_low_hz,pair_ci_high_hz,sign_test_p,holm_p,bh_q,block_bootstrap_days,block_ci_low_hz,block_ci_high_hz,block_ci_excludes_zero,test_sgp4_p95_hz,test_learned_p95_hz,test_sgp4_p99_hz,test_learned_p99_hz,test_sgp4_outage_proxy,test_learned_outage_proxy
NORAD56727,IRIDIUM 177,24,1500,True,evaluated,2520,2519,1,0.0397,1342,476,701,linear_bias_rate,1.684759,1.699808,-0.8932,closed,closed,closed,closed,closed,closed,1.618525,1.631846,0.013321,0.823,-0.823,377,324,0,0.537803,0.013321,-0.001686,0.008423,0.018444,0.049451,1.0,0.08091982,229,0.007081,0.019316,True,4.347489,4.364893,5.427351,5.439699,0.0,0.0
NORAD56727,IRIDIUM 177,48,1500,True,evaluated,2506,2504,2,0.0798,1333,474,697,stale_age_ridge,3.827671,3.852593,-0.6511,closed,closed,closed,closed,closed,closed,5.158936,5.205571,0.046635,0.904,-0.904,312,385,0,0.447633,0.046635,0.09207,0.022859,0.069015,0.006347,0.19041,0.01324662,227,0.012277,0.081672,True,13.846874,13.928604,17.93162,17.981771,0.000359,0.000359
NORAD56727,IRIDIUM 177,72,1500,True,evaluated,2527,2518,9,0.3562,1334,477,707,stale_age_ridge,7.536519,7.50282,0.4471,closed,closed,closed,closed,closed,closed,10.017603,10.025254,0.007651,0.0764,-0.0764,359,348,0,0.507779,0.007651,-0.009724,-0.027485,0.041638,0.706879,1.0,0.81215885,228,-0.046445,0.060353,False,26.925156,26.834539,34.545936,34.432512,0.000707,0.000707
NORAD56727,IRIDIUM 177,96,1500,True,evaluated,2577,2560,17,0.6597,1356,493,711,stale_age_ridge,13.516964,13.312175,1.5151,closed,closed,closed,closed,closed,closed,16.328549,16.246132,-0.082418,-0.5047,0.5047,419,292,0,0.589311,-0.082418,-0.18493,-0.139058,-0.028339,2e-06,7e-05,5.4e-06,231,-0.165687,0.002624,False,44.281362,44.032491,57.56362,57.26715,0.001231,0.001172
NORAD56727,IRIDIUM 177,168,1500,True,evaluated,2586,2523,63,2.4362,1318,496,709,stale_age_ridge,36.734346,35.985886,2.0375,closed,closed,closed,closed,closed,closed,40.092832,39.561596,-0.531236,-1.325,1.325,486,223,0,0.685472,-0.531236,-0.800285,-0.676594,-0.394512,0.0,0.0,0.0,231,-0.752877,-0.305489,True,109.440012,107.647957,141.10174,139.211731,0.005759,0.005583
NORAD61594,ONEWEB-0015,8,1500,True,evaluated,1284,1281,3,0.2336,605,354,322,linear_bias_rate,0.52659,0.754022,-43.1896,closed,closed,closed,closed,closed,closed,0.491093,0.700552,0.209459,42.6515,-42.6515,73,249,0,0.226708,0.209459,0.112884,0.179825,0.240168,0.0,0.0,0.0,113,0.173632,0.24614,True,1.300497,1.48072,1.765836,1.928481,0.0,0.0
NORAD61594,ONEWEB-0015,24,1500,True,evaluated,1621,1581,40,2.4676,785,406,390,linear_bias_rate,1.069237,2.948795,-175.785,closed,closed,closed,closed,closed,closed,1.061908,2.903467,1.841559,173.4199,-173.4199,13,377,0,0.033333,1.841559,1.841448,1.756748,1.929527,0.0,0.0,0.0,122,1.732752,1.951573,True,2.856817,4.757623,3.763245,5.521387,0.0,0.0
NORAD61594,ONEWEB-0015,48,1500,True,evaluated,1636,1534,102,6.2347,728,413,393,stale_age_ridge,1.944995,1.999125,-2.7831,closed,closed,closed,closed,closed,closed,1.922945,1.964592,0.041647,2.1658,-2.1658,169,224,0,0.430025,0.041647,0.046106,0.021249,0.062723,0.006378,0.19041,0.01324662,126,0.013191,0.069944,True,5.12971,5.208193,6.676402,6.74978,0.0,0.0
NORAD61594,ONEWEB-0015,72,1500,True,evaluated,1626,1478,148,9.1021,678,410,390,linear_bias_rate,2.308784,2.31535,-0.2844,closed,closed,closed,closed,closed,closed,2.429952,2.437065,0.007113,0.2927,-0.2927,196,194,0,0.502564,0.007113,-0.000245,-0.000352,0.014687,0.959623,1.0,0.97772909,125,-0.004044,0.018078,False,6.42581,6.446359,8.238349,8.257523,0.0,0.0
NORAD61594,ONEWEB-0015,96,1500,True,evaluated,1654,1471,183,11.0641,660,412,399,stale_age_ridge,2.64536,2.626701,0.7054,closed,closed,closed,closed,closed,closed,3.334194,3.303713,-0.030481,-0.9142,0.9142,256,143,0,0.641604,-0.030481,-0.032162,-0.040206,-0.020781,0.0,0.0,0.0,126,-0.043358,-0.016984,True,8.780469,8.75168,10.943492,10.914055,0.0,0.0
NORAD61594,ONEWEB-0015,168,1500,True,evaluated,1651,1374,277,16.7777,562,413,399,linear_bias_rate,5.052108,5.072851,-0.4106,closed,closed,closed,closed,closed,closed,8.73699,8.74771,0.01072,0.1227,-0.1227,223,176,0,0.558897,0.01072,-0.012911,-0.000949,0.022916,0.021169,0.529225,0.0381042,127,-0.004611,0.029389,False,22.882115,22.90726,29.343159,29.368719,0.000313,0.000313
NORAD66514,SENTINEL-6B,8,1500,True,evaluated,456,456,0,0.0,268,114,74,linear_bias_rate,0.045682,0.050973,-11.5812,closed,closed,closed,closed,closed,closed,0.040792,0.046613,0.005821,14.2699,-14.2699,23,51,0,0.310811,0.005821,0.006041,0.003893,0.007851,0.001516,0.048512,0.0035593,34,0.003377,0.008333,True,0.113955,0.117359,0.132451,0.134745,0.0,0.0
NORAD66514,SENTINEL-6B,24,1500,True,evaluated,662,662,0,0.0,382,156,124,linear_bias_rate,0.145579,0.15439,-6.0526,closed,closed,closed,closed,closed,closed,0.115082,0.124103,0.009021,7.8385,-7.8385,30,94,0,0.241935,0.009021,0.005009,0.00633,0.011899,0.0,0.0,0.0,46,0.005454,0.012469,True,0.337374,0.329022,0.392466,0.383358,0.0,0.0
NORAD66514,SENTINEL-6B,48,1500,True,evaluated,659,659,0,0.0,378,155,126,linear_bias_rate,0.294811,0.315111,-6.8855,closed,closed,closed,closed,closed,closed,0.22207,0.250729,0.028659,12.9052,-12.9052,26,100,0,0.206349,0.028659,0.017622,0.02227,0.035213,0.0,0.0,0.0,47,0.019629,0.037436,True,0.642675,0.611435,0.744929,0.700317,0.0,0.0
NORAD66514,SENTINEL-6B,72,1500,True,evaluated,657,651,6,0.9132,373,154,124,linear_bias_rate,0.459208,0.491354,-7.0002,closed,closed,closed,closed,closed,closed,0.326072,0.375744,0.049672,15.2334,-15.2334,16,108,0,0.129032,0.049672,0.04067,0.041157,0.058445,0.0,0.0,0.0,46,0.039613,0.058715,True,0.964249,0.910532,1.094077,1.017672,0.0,0.0
NORAD66514,SENTINEL-6B,96,1500,True,evaluated,674,663,11,1.632,376,159,128,linear_bias_rate,0.616806,0.681149,-10.4316,closed,closed,closed,closed,closed,closed,0.436933,0.551196,0.114263,26.1512,-26.1512,8,120,0,0.0625,0.114263,0.043982,0.086241,0.145532,0.0,0.0,0.0,49,0.079051,0.156112,True,1.28751,1.318185,1.462717,1.471551,0.0,0.0
NORAD66514,SENTINEL-6B,168,1500,True,evaluated,663,650,13,1.9608,360,159,131,linear_bias_rate,1.28895,1.405875,-9.0714,closed,closed,closed,closed,closed,closed,0.773807,0.934433,0.160625,20.7578,-20.7578,26,105,0,0.198473,0.160625,0.130822,0.12697,0.19538,0.0,0.0,0.0,49,0.127263,0.195225,True,2.213294,2.208513,2.581432,2.605785,0.0,0.0
NORAD66704,FLOCK 4H 1,8,1500,True,evaluated,431,430,1,0.232,264,100,66,stale_age_ridge,0.234876,0.258631,-10.114,closed,closed,closed,closed,closed,closed,0.231974,0.268045,0.036071,15.5497,-15.5497,19,47,0,0.287879,0.036071,0.030564,0.025484,0.046324,0.000756,0.024948,0.00185564,32,0.021491,0.049189,True,0.66356,0.707121,1.014141,1.056085,0.0,0.0
NORAD66704,FLOCK 4H 1,24,1500,True,evaluated,559,559,0,0.0,342,122,95,stale_age_ridge,0.766071,0.782333,-2.1228,closed,closed,closed,closed,closed,closed,0.885146,0.876491,-0.008655,-0.9778,0.9778,52,43,0,0.547368,-0.008655,-0.005679,-0.031149,0.012664,0.41191,1.0,0.52959857,40,-0.037883,0.020688,False,2.384735,2.415808,3.418609,3.439396,0.0,0.0
NORAD66704,FLOCK 4H 1,48,1500,True,evaluated,581,578,3,0.5164,352,124,102,stale_age_ridge,1.970736,2.002308,-1.602,closed,closed,closed,closed,closed,closed,2.010535,2.037239,0.026704,1.3282,-1.3282,47,55,0,0.460784,0.026704,0.005034,0.001292,0.052921,0.488434,1.0,0.59944173,40,-0.001084,0.058356,False,5.458834,5.434442,7.557691,7.512383,0.0,0.0
NORAD66704,FLOCK 4H 1,72,1500,True,evaluated,574,571,3,0.5226,346,125,100,linear_bias_rate,4.226444,4.232335,-0.1394,closed,closed,closed,closed,closed,closed,4.115597,4.142535,0.026938,0.6545,-0.6545,49,51,0,0.49,0.026938,0.032605,-0.02346,0.078761,0.920411,1.0,0.95581142,40,-0.038287,0.095753,False,11.332654,11.444498,16.134251,16.237963,0.0,0.0
NORAD66704,FLOCK 4H 1,96,1500,True,evaluated,585,581,4,0.6838,352,125,104,linear_bias_rate,7.216866,7.249708,-0.4551,closed,closed,closed,closed,closed,closed,7.634107,7.664693,0.030587,0.4007,-0.4007,54,50,0,0.519231,0.030587,-0.032696,-0.028452,0.094202,0.768792,1.0,0.84724016,42,-0.037402,0.108133,False,20.977715,20.961766,29.830882,29.81309,0.0,0.0
NORAD66704,FLOCK 4H 1,168,1500,True,evaluated,575,559,16,2.7826,329,125,105,stale_age_ridge,25.431008,25.395585,0.1393,closed,closed,closed,closed,closed,closed,22.473294,22.393486,-0.079807,-0.3551,0.3551,54,51,0,0.514286,-0.079807,-0.125539,-0.190587,0.026217,0.84537,1.0,0.89509765,42,-0.244853,0.082427,False,62.652151,62.545725,86.80633,86.700511,0.000397,0.000397
NORAD66705,FLOCK 4H 2,8,1500,True,evaluated,452,449,3,0.6637,275,110,64,linear_bias_rate,0.269047,0.275296,-2.3225,closed,closed,closed,closed,closed,closed,0.262654,0.268931,0.006277,2.3899,-2.3899,25,39,0,0.390625,0.006277,0.004819,0.001918,0.010831,0.103422,1.0,0.16425847,31,0.001337,0.012124,True,0.741551,0.73813,0.952912,0.949201,0.0,0.0
NORAD66705,FLOCK 4H 2,24,1500,True,evaluated,578,575,3,0.519,343,133,99,stale_age_ridge,0.75937,0.768988,-1.2665,closed,closed,closed,closed,closed,closed,0.82685,0.841235,0.014386,1.7398,-1.7398,37,62,0,0.373737,0.014386,0.011672,0.00736,0.021746,0.015432,0.432096,0.030864,40,0.006783,0.021323,True,2.340149,2.343638,3.063907,3.06403,0.0,0.0
NORAD66705,FLOCK 4H 2,48,1500,True,evaluated,587,581,6,1.0221,348,133,100,stale_age_ridge,2.019849,2.013016,0.3383,closed,closed,closed,closed,closed,closed,2.346684,2.330515,-0.016169,-0.689,0.689,58,42,0,0.58,-0.016169,-0.029546,-0.028165,-0.004195,0.133211,1.0,0.1998165,42,-0.030619,0.00061,False,6.691408,6.700017,9.310619,9.31892,0.0,0.0
NORAD66705,FLOCK 4H 2,72,1500,True,evaluated,587,579,8,1.3629,346,134,99,stale_age_ridge,4.758571,4.732134,0.5556,closed,closed,closed,closed,closed,closed,5.033358,5.009022,-0.024335,-0.4835,0.4835,56,43,0,0.565657,-0.024335,-0.036319,-0.047893,-0.000817,0.227626,1.0,0.32346853,41,-0.057152,0.008167,False,14.271899,14.241926,19.045153,19.01494,0.0,0.0
NORAD66705,FLOCK 4H 2,96,1500,True,evaluated,589,582,7,1.1885,347,136,99,stale_age_ridge,7.97381,7.958892,0.1871,closed,closed,closed,closed,closed,closed,7.388649,7.392124,0.003475,0.047,-0.047,60,39,0,0.606061,0.003475,-0.016376,-0.023959,0.034889,0.043875,1.0,0.07403906,42,-0.032258,0.041892,False,20.553147,20.562345,26.541888,26.549373,0.0,0.0
NORAD66705,FLOCK 4H 2,168,1500,True,evaluated,586,572,14,2.3891,333,136,103,stale_age_ridge,26.223902,26.180791,0.1644,closed,closed,closed,closed,closed,closed,23.913195,23.825096,-0.088098,-0.3684,0.3684,63,40,0,0.61165,-0.088098,-0.127263,-0.166222,-0.005514,0.029682,0.712368,0.05170413,43,-0.195022,0.035839,False,64.552906,64.418725,89.184843,89.038805,0.000405,0.000405
NORAD66741,BLACK KITE-1,8,1500,True,evaluated,309,309,0,0.0,164,86,59,stale_age_ridge,0.250167,0.29993,-19.8917,closed,closed,closed,closed,closed,closed,0.212967,0.267503,0.054535,25.6075,-25.6075,13,46,0,0.220339,0.054535,0.057413,0.040736,0.068741,1.9e-05,0.000646,4.886e-05,27,0.038805,0.069412,True,0.576445,0.680008,0.784354,0.882088,0.0,0.0
NORAD66741,BLACK KITE-1,24,1500,True,evaluated,382,377,5,1.3089,186,110,81,stale_age_ridge,0.894079,0.904002,-1.1099,closed,closed,closed,closed,closed,closed,0.807949,0.815564,0.007615,0.9425,-0.9425,38,43,0,0.469136,0.007615,0.001169,-0.002707,0.019273,0.656992,1.0,0.77125148,39,-0.002778,0.01871,False,2.165258,2.165051,2.846922,2.847093,0.0,0.0
NORAD66741,BLACK KITE-1,48,1500,True,evaluated,389,384,5,1.2853,182,115,87,stale_age_ridge,2.18931,2.197718,-0.384,closed,closed,closed,closed,closed,closed,2.22604,2.237308,0.011268,0.5062,-0.5062,38,49,0,0.436782,0.011268,0.009021,0.000226,0.022174,0.283607,1.0,0.39268662,42,0.001538,0.021517,True,5.958114,5.959201,7.382428,7.383029,0.0,0.0
NORAD66741,BLACK KITE-1,72,1500,True,evaluated,388,380,8,2.0619,173,121,86,linear_bias_rate,4.899945,4.891286,0.1767,closed,closed,closed,closed,closed,closed,4.909199,4.906249,-0.002951,-0.0601,0.0601,47,39,0,0.546512,-0.002951,-0.003815,-0.011535,0.006602,0.450548,1.0,0.56580447,41,-0.016578,0.009582,False,13.456497,13.472494,17.100454,17.116378,0.0,0.0
NORAD66741,BLACK KITE-1,96,1500,True,evaluated,394,382,12,3.0457,174,120,88,linear_bias_rate,9.495018,9.476023,0.2001,closed,closed,closed,closed,closed,closed,8.660001,8.672135,0.012134,0.1401,-0.1401,46,42,0,0.522727,0.012134,-0.004069,-0.017654,0.042457,0.749329,1.0,0.84299512,43,-0.029457,0.054518,False,23.513143,23.519687,31.111703,31.11657,0.0,0.0
NORAD66741,BLACK KITE-1,168,1500,True,evaluated,399,381,18,4.5113,168,121,92,stale_age_ridge,27.009628,27.015763,-0.0227,closed,closed,closed,closed,closed,closed,29.620002,29.634329,0.014327,0.0484,-0.0484,34,58,0,0.369565,0.014327,0.004889,0.003159,0.025523,0.01602,0.43254,0.03089571,43,0.001032,0.026393,True,81.879701,81.908299,107.147902,107.178687,0.001812,0.001812
NORAD68474,BLACK KITE-2,8,1500,True,evaluated,174,174,0,0.0,124,26,24,stale_age_ridge,0.236165,0.226872,3.9348,closed,closed,closed,closed,closed,closed,0.223279,0.222171,-0.001107,-0.496,0.496,11,13,0,0.458333,-0.001107,0.001815,-0.009123,0.006295,0.83882,1.0,0.89509765,12,-0.011878,0.008036,False,0.660775,0.66075,0.811701,0.810794,0.0,0.0
NORAD68474,BLACK KITE-2,24,1500,True,evaluated,219,219,0,0.0,142,39,38,ridge,0.680071,0.651958,4.1338,closed,closed,closed,closed,closed,closed,0.798134,0.86554,0.067405,8.4454,-8.4454,9,29,0,0.236842,0.067405,0.132135,0.030153,0.10272,0.001658,0.051398,0.0037305,19,0.008273,0.115697,True,2.291686,2.436566,2.965407,3.131195,0.0,0.0
NORAD68474,BLACK KITE-2,48,1500,True,evaluated,214,214,0,0.0,136,41,37,ridge,1.203784,1.13095,6.0504,open,open,open,closed,closed,closed,1.782554,1.858635,0.076081,4.2681,-4.2681,11,26,0,0.297297,0.076081,0.189632,0.005958,0.138662,0.020074,0.521924,0.03737917,19,-0.017011,0.156673,False,5.369146,5.544596,6.796494,6.995554,0.0,0.0
NORAD68474,BLACK KITE-2,72,1500,True,evaluated,216,216,0,0.0,139,40,37,stale_age_ridge,1.870372,1.798774,3.828,closed,closed,closed,closed,closed,closed,2.582995,2.598627,0.015632,0.6052,-0.6052,15,22,0,0.405405,0.015632,0.012878,-0.022453,0.050748,0.324009,1.0,0.43741215,18,-0.026146,0.056803,False,7.890507,7.94702,9.379785,9.439902,0.0,0.0
NORAD68474,BLACK KITE-2,96,1500,True,evaluated,229,229,0,0.0,148,40,41,stale_age_ridge,2.549438,2.521199,1.1077,closed,closed,closed,closed,closed,closed,3.415398,3.434043,0.018646,0.5459,-0.5459,16,25,0,0.390244,0.018646,0.012374,-0.029435,0.066332,0.211024,1.0,0.30798097,19,-0.034749,0.076266,False,10.318292,10.362449,12.608481,12.670948,0.0,0.0
NORAD68474,BLACK KITE-2,168,1500,True,evaluated,234,234,0,0.0,151,42,41,stale_age_ridge,5.207404,5.200095,0.1404,closed,closed,closed,closed,closed,closed,17.848917,17.845985,-0.002932,-0.0164,0.0164,21,20,0,0.512195,-0.002932,-0.028187,-0.029249,0.024055,1.0,1.0,1.0,20,-0.038193,0.037483,False,53.816061,53.818283,73.075904,73.072667,0.001016,0.001016
